WKUP,PA0
ACC_INT2,PA1
GPS_RXD,PA2
GPS_TXD,PA3
GSM_DCD,PA4
SP1_SCK,PA5
SP1_MISO,PA6
SP1_MOSI,PA7
GSM_RI,PA8
GSM_DBG_RXD,PA9
GSM_DBG_TXD,PA10
USB_DM,PA11
USB_DP,PA12
PA13_JTAG_TMS,PA13
PA14_JTAG_TCK,PA14
PA15_JTAG_TDI,PA15
PB0,PB0
PB1,PB1
BOOT1,PB2
PB3_JTAG_TDO,PB3
PB4_JTAG_TRST,PB4
PB5,PB5
I2C1_SCL,PB6
I2C1_SDA,PB7
LED1,PB8
LED2,PB9
GSM_RXD,PB10
GSM_TXD,PB11
PB12,PB12
GSM_RTS,PB13
GSM_CTS,PB14
MICROSD_CS,PB15
ENABLE_LDO4,PC0
GPS_WAKEUP,PC1
PC2,PC2
PC3,PC3
GSM_PWRKEY,PC4
GSM_DTR,PC5
ENABLE_LDO3,PC6
ENABLE_GSM_VBAT,PC7
ENABLE_LDO2,PC8
GPS_1PPS_SIGNAL,PC9
SD_CARD_INSERTED,PC10
CHARGER_STATUS,PC11
DISABLE_CHARGER,PC12
GPS_V_BACKUP_PWR,PC13
PC14,PC14
GSM_STATUS,PC15
LED_RED,PB8
LED_GREEN,PB9
LED_YELLOW,PB8
LED_BLUE,PB9
